52	0	0	12	146000	45	52	0	0	1	1	1
38	0	0	18	50000	45	52	0	0	1	1	1
38	0	0	14	32000	40	51	0	0	1	1	1
41	1	0	13	47000	40	52	0	0	1	1	1
42	0	0	13	161525	50	52	1	0	1	1	1
66	1	0	13	33000	40	52	0	0	1	1	5
51	0	0	16	37000	44	52	0	0	1	1	1
49	1	0	16	37000	44	52	0	0	1	1	1
33	0	0	16	80000	40	52	0	0	1	1	1
52	1	0	14	32000	40	52	0	0	1	1	1
55	0	0	14	46000	40	52	0	0	1	1	5
51	0	0	12	62000	40	52	0	0	1	1	5
52	0	0	11	33000	45	52	0	0	1	1	1
44	0	0	13	26040	40	52	0	0	1	1	1
59	0	0	16	35000	60	52	1	0	1	1	1
35	1	0	14	48000	36	52	1	0	1	1	1
31	0	0	16	26000	40	52	0	0	1	1	1
66	1	0	13	32000	40	52	0	0	1	1	1
44	0	0	14	80000	40	52	0	0	1	1	1
41	1	0	14	50000	40	52	0	0	1	1	1
46	0	0	16	80000	45	52	0	0	1	1	1
45	1	0	14	90000	45	52	0	0	1	1	1
24	0	0	13	24000	45	52	0	0	1	1	7
59	1	0	12	30000	40	52	0	0	1	1	7
57	0	0	12	32000	40	52	0	0	1	1	1
33	1	0	14	71000	40	52	0	0	1	1	1
41	1	0	14	22500	40	52	0	0	1	1	1
44	0	0	12	21000	40	52	0	0	1	1	1
39	0	0	20	47000	40	52	0	0	1	1	1
52	0	0	14	26000	40	52	0	0	1	1	1
34	1	0	13	19240	37	52	0	0	1	1	1
37	0	0	13	21840	40	52	0	0	1	1	1
37	1	0	13	34843	45	52	0	0	1	1	1
42	1	0	12	21000	36	52	0	0	1	1	2
43	0	0	12	50000	40	52	0	0	1	1	1
64	1	0	12	24176	40	52	0	0	1	7	5
51	0	0	18	50475	45	52	0	0	1	1	1
49	1	0	16	44000	40	52	0	0	1	1	4
50	1	0	12	39643	40	52	0	0	1	1	5
50	1	0	16	49000	40	52	0	0	1	1	1
41	0	0	18	56000	55	52	0	0	1	1	1
21	0	0	12	52000	40	52	0	0	1	1	7
30	0	0	13	25000	40	52	0	0	1	1	5
43	1	0	13	34000	40	52	0	0	1	1	5
62	1	0	16	29300	75	52	0	0	1	1	3
23	0	0	11	16000	40	52	0	0	1	1	7
53	1	0	16	42000	55	52	0	0	1	1	1
58	0	0	12	5000	40	52	0	0	1	1	1
27	0	0	13	9500	40	52	0	0	1	1	7
25	1	0	18	30000	40	52	0	0	1	1	7
41	0	0	14	144000	50	52	0	0	1	1	1
56	0	0	13	32000	55	52	0	0	1	1	1
